Item_final,Region,food_group,In_FS_study,In_FS_study_exact,Notes
Walnuts,Europe_Eastern_south,Nuts,N,N,GRIN
Watermelons,Africa_Southern,Fruits,N,N,GRIN
Wheat,Asia_Central,Cereals,Y,Y,As per Palacios
Wheat,Asia_West,Cereals,Y,Y,As per Palacios
Wheat,Mediterranean_SouthandEast,Cereals,Y,Y,added by CK due to presence of early crop and wild relatives in region
Yams,Africa_West,Starchy roots,Y,Y,As per Palacios
Yams,America_South_tropical,Starchy roots,Y,Y,"Added for D. trifida, native to Guyana."
Yams,Asia_South,Starchy roots,Y,Y,As per Palacios
Yams,Asia_Southeast,Starchy roots,Y,Y,As per Palacios
Yautia,America_Caribbean,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
Yautia,America_Central_and_Mexico,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
Yautia,America_South_tropical,Starchy roots,Y,N,as determined from contributing species PNAS (Xanthosoma)
